Datetime,Temperature,Humidity,Precipitation,WindSpeed,WindDirection,Pressure,CloudCover
2025-06-01 00:00:00,26.6,92,0.0,2.0,207,1010.9,100
2025-06-01 01:00:00,27.2,89,2.1,5.6,277,1011.5,78
2025-06-01 02:00:00,28.4,84,0.0,4.2,282,1011.6,61
2025-06-01 03:00:00,30.4,76,0.0,3.6,250,1011.1,70
2025-06-01 04:00:00,32.0,66,0.0,7.0,247,1010.3,86
2025-06-01 05:00:00,33.1,59,0.0,9.6,256,1009.1,76
2025-06-01 06:00:00,33.8,56,0.0,11.2,260,1008.5,66
2025-06-01 07:00:00,33.6,56,0.0,12.4,261,1007.6,96
2025-06-01 08:00:00,32.9,57,0.0,14.4,252,1006.9,100
2025-06-01 09:00:00,30.9,68,0.0,13.1,224,1007.0,97
2025-06-01 10:00:00,27.4,83,0.2,11.5,239,1007.4,99
2025-06-01 11:00:00,27.1,87,0.0,5.9,194,1008.1,100
2025-06-01 12:00:00,26.8,90,0.0,4.2,175,1009.0,97
2025-06-01 13:00:00,28.4,86,0.0,4.8,248,1009.3,10
2025-06-01 14:00:00,27.8,89,0.0,4.5,233,1010.3,62
2025-06-01 15:00:00,27.5,91,0.0,8.1,209,1010.3,62
2025-06-01 16:00:00,27.2,90,0.0,9.1,207,1010.4,99
2025-06-01 17:00:00,27.0,89,0.0,12.7,209,1010.2,100
2025-06-01 18:00:00,26.6,90,0.3,14.2,216,1010.0,100
2025-06-01 19:00:00,26.4,90,0.0,12.5,215,1009.5,100
2025-06-01 20:00:00,26.0,91,0.0,9.4,215,1009.3,100
2025-06-01 21:00:00,25.9,92,0.0,8.8,215,1009.2,100
2025-06-01 22:00:00,25.7,93,0.0,7.5,213,1009.3,100
2025-06-01 23:00:00,25.7,93,0.6,7.2,194,1009.9,100
2025-06-02 00:00:00,26.2,92,0.3,8.7,197,1010.1,100
2025-06-02 01:00:00,27.6,91,0.3,7.6,188,1010.5,100
2025-06-02 02:00:00,29.0,86,0.0,9.2,215,1010.9,100
2025-06-02 03:00:00,29.5,81,0.0,10.0,213,1010.8,100
2025-06-02 04:00:00,31.1,73,0.0,10.3,226,1010.1,100
2025-06-02 05:00:00,30.5,67,0.1,14.2,221,1009.3,91
2025-06-02 06:00:00,29.8,71,0.2,17.7,226,1008.9,89
2025-06-02 07:00:00,29.4,74,0.2,17.4,229,1008.0,97
2025-06-02 08:00:00,29.0,78,0.0,14.0,238,1007.1,99
2025-06-02 09:00:00,29.2,77,0.0,11.2,235,1007.3,100
2025-06-02 10:00:00,28.4,80,0.0,9.7,242,1007.7,100
2025-06-02 11:00:00,27.6,85,0.0,5.5,238,1008.0,100
2025-06-02 12:00:00,27.0,89,0.0,6.8,233,1008.6,100
2025-06-02 13:00:00,26.3,95,0.4,1.7,193,1008.8,100
2025-06-02 14:00:00,26.0,95,0.1,2.2,270,1008.9,100
2025-06-02 15:00:00,25.9,94,0.0,1.3,236,1009.2,99
2025-06-02 16:00:00,25.7,94,0.0,3.8,225,1009.3,100
2025-06-02 17:00:00,25.7,94,0.0,3.2,243,1009.4,98
2025-06-02 18:00:00,25.6,95,0.0,4.8,228,1009.0,100
2025-06-02 19:00:00,25.6,96,0.0,5.1,231,1008.2,100
2025-06-02 20:00:00,25.5,97,0.0,5.3,215,1007.6,100
2025-06-02 21:00:00,25.4,98,0.0,4.2,198,1007.9,100
2025-06-02 22:00:00,25.2,98,0.0,2.5,240,1008.4,100
2025-06-02 23:00:00,25.7,98,0.0,4.1,268,1008.9,69
2025-06-03 00:00:00,27.1,92,0.0,8.8,259,1009.5,100
2025-06-03 01:00:00,24.5,99,6.2,0.6,108,1010.4,100
2025-06-03 02:00:00,25.7,95,0.6,3.2,137,1010.8,100
2025-06-03 03:00:00,26.4,94,0.5,6.9,195,1010.9,100
